token,count_raw,count_after_stopword_removal,count_after_stemming,is_stopword,suffix_stripped,root
र,427,0,0,1,,र
छ,410,0,0,1,,छ
छऐन,134,134,134,0,,छऐन
तर,116,0,0,1,,तर
सामान्य,92,92,93,0,,सामान्य
हल्का,91,91,93,0,का,हल्
उनकओ,82,0,0,1,कओ,उन
कम,79,79,79,0,,कम
उसकओ,72,72,99,0,कओ,उस
सास,71,71,78,0,,सास
थओरऐ,68,68,68,0,,थओरऐ
भएकओ,65,0,9,1,कओ,भए
पनि,64,64,64,0,,पनि
अलि,63,63,63,0,,अलि
गर्भाबस्थाकओ,59,59,67,0,कओ,गर्भाबस्था
बर्स,58,58,58,0,,बर्स
कुनऐ,58,58,58,0,,कुनऐ
हप्ता,57,57,72,0,,हप्ता
दुध,55,55,58,0,,दुध
दुखाइ,54,54,55,0,,दुखाइ
धएरऐ,51,51,51,0,,धएरऐ
समस्या,50,50,53,0,,समस्या
उनलाइ,49,0,0,1,लाइ,उन
उनि,49,0,0,1,,उनि
जस्तओ,47,47,47,0,,जस्तओ
ठिक,44,0,0,1,,ठिक
पएट,40,40,57,0,,पएट
ज्बरओ,37,37,37,0,,ज्बरओ
गम्भिर,37,37,37,0,,गम्भिर
सरिर,35,35,50,0,,सरिर
प्रतिक्रिया,35,35,35,0,,प्रतिक्रिया
हुन्छ,35,0,0,1,,हुन्छ
टाउकओ,34,34,34,0,कओ,टाउ
दएखिन्छ,34,34,34,0,,दएखिन्छ
सुस्त,33,33,33,0,,सुस्त
दिनकओ,29,29,77,0,कओ,दिन
दएखिएकओ,29,29,32,0,कओ,दएखिए
नानिलए,28,28,75,0,लए,नानि
रगत,27,27,28,0,,रगत
दुइ,27,27,27,0,,दुइ
राम्रओ,26,26,32,0,,राम्रओ
गाह्रओ,25,25,25,0,,गाह्रओ
नानि,25,25,75,0,,नानि
हुनए,24,24,24,0,,हुनए
बान्ता,24,24,24,0,,बान्ता
लछ्यण,24,24,24,0,,लछ्यण
भइरहएकओ,22,22,22,0,कओ,भइरहए
पानि,22,22,25,0,,पानि
सम्भाबना,22,22,22,0,,सम्भाबना
निलओ,22,22,22,0,,निलओ
छिन्,22,22,22,0,,छिन्
बएहओस,21,21,21,0,,बएहओस
उसलए,21,21,99,0,लए,उस
कमजओर,21,21,21,0,,कमजओर
बढएकओ,21,21,21,0,कओ,बढए
कहिलए,21,21,21,0,लए,कहि
महसुस,21,21,21,0,,महसुस
आखा,21,21,34,0,,आखा
बच्चा,21,21,38,0,,बच्चा
उच्च,20,20,20,0,,उच्च
आज,20,20,22,0,,आज
छओरा,20,20,20,0,,छओरा
निकऐ,20,20,20,0,कऐ,नि
फएर्न,19,19,19,0,,फएर्न
छओरि,19,19,19,0,,छओरि
तिब्र,19,19,19,0,,तिब्र
जुम्ल्याहा,18,18,18,0,,जुम्ल्याहा
बा,18,0,0,1,,बा
रक्तचाप,18,18,19,0,,रक्तचाप
आबाज,18,18,21,0,,आबाज
दुख्नए,17,17,17,0,,दुख्नए
खुट्टा,17,17,22,0,,खुट्टा
गर्दा,17,17,17,0,,गर्दा
स्बास,16,16,18,0,,स्बास
ठुलओ,16,16,16,0,,ठुलओ
नानिकओ,16,16,75,0,कओ,नानि
बच्चाकओ,15,15,38,0,कओ,बच्चा
कमजओरि,15,15,15,0,,कमजओरि
नियमित,15,15,15,0,,नियमित
छातिमा,15,15,34,0,मा,छाति
थकान,15,15,15,0,,थकान
काम,15,15,16,0,,काम
गर्छिन्,15,15,15,0,,गर्छिन्
छाला,15,15,22,0,,छाला
छाति,15,15,34,0,,छाति
पिसाब,14,14,15,0,,पिसाब
अनुहार,14,14,14,0,,अनुहार
दिनकि,14,14,77,0,कि,दिन
आएकओ,14,0,1,1,कओ,आए
हओइन,14,14,14,0,,हओइन
मातिर,14,14,14,0,तिर,मा
भयओ,14,14,14,0,,भयओ
पएटमा,14,14,57,0,मा,पएट
३,13,13,13,0,,३
थियओ,13,0,0,1,,थियओ
नाभि,13,13,19,0,,नाभि
रुपमा,13,0,1,1,मा,रुप
तिन,13,13,13,0,,तिन
लाग्छ,13,13,13,0,,लाग्छ
